2023-03-09 17:12:14.056 | INFO     | __main__:main:26 - 命令执行成功 rm -rf /home/ubuntu/html/*;cd /home/ubuntu/html/;mv /tmp/dist.zip ./;unzip dist.zip
2023-03-09 17:31:57.086 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 17:31:58.444 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-03-09 17:32:01.353 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-03-09 23:06:49.366 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:06:50.211 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-03-09 23:06:51.848 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-03-09 23:07:07.571 | ERROR    | __main__:main:23 - 强制断开连接
2023-03-09 23:07:07.586 | INFO     | __main__:main:26 - 命令执行成功 rm -rf /home/ubuntu/html/*;cd /home/ubuntu/html/;mv /tmp/dist.zip ./;unzip dist.zip
2023-03-09 23:12:43.416 | INFO     | lib.tools:getXMLConfig:96 - 加载配置文件
2023-03-09 23:13:22.713 | INFO     | lib.tools:getXMLConfig:96 - 加载配置文件
2023-03-09 23:14:28.202 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:14:29.193 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-03-09 23:14:30.741 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-03-09 23:14:33.810 | ERROR    | __main__:main:23 - 强制断开连接
2023-03-09 23:14:33.812 | INFO     | __main__:main:26 - 命令执行成功 rm -rf /home/ubuntu/html/*;cd /home/ubuntu/html/;mv /tmp/dist.zip ./;unzip dist.zip
2023-03-09 23:14:42.328 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:15:17.333 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:16:33.539 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:17:01.534 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:17:27.089 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:17:27.966 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-03-09 23:17:29.368 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-03-09 23:18:29.555 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:18:31.275 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-03-09 23:18:32.545 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-03-09 23:18:34.737 | ERROR    | __main__:main:23 - 强制断开连接
2023-03-09 23:18:34.739 | INFO     | __main__:main:26 - 命令执行成功 rm -rf /home/ubuntu/html/*;cd /home/ubuntu/html/;mv /tmp/dist.zip ./;unzip dist.zip
2023-03-09 23:18:39.474 | INFO     | lib.tools:getXMLConfig:95 - 加载配置文件
2023-03-09 23:18:40.606 | INFO     | lib.tools:connectHost:72 - 连接 150.158.194.26
2023-03-09 23:18:41.922 | INFO     | lib.tools:compressZip:15 - 压缩 G:\Blog\my_site\src\.vuepress\dist 
2023-03-09 23:18:44.613 | ERROR    | __main__:main:23 - 强制断开连接
2023-03-09 23:18:44.613 | INFO     | __main__:main:26 - 命令执行成功 rm -rf /home/ubuntu/html/*;cd /home/ubuntu/html/;mv /tmp/dist.zip ./;unzip dist.zip
